glycan_mass,project_name,file_name,spectrum_id,ipc_index
1518,PXD026629,20180904YLJ-VSV4h-02.ipc,28018,2495
1518,PXD026629,20180904YLJ-VSV4h-02.ipc,28586,2615
1518,PXD026629,20180904YLJ-VSV4h-02.ipc,28617,2617
1518,PXD026629,20180904YLJ-VSV4h-02.ipc,28845,2646
2223,PXD026629,20180904YLJ-VSV4h-02.ipc,26560,2243
2223,PXD026629,20180904YLJ-VSV4h-02.ipc,26631,2258
2223,PXD026629,20180904YLJ-VSV4h-02.ipc,37604,4512
2223,PXD026629,20180904YLJ-VSV4h-02.ipc,39669,4965
2223,PXD026629,20180904YLJ-VSV4h-02.ipc,44224,6031
2904,PXD026629,20180904YLJ-VSV4h-02.ipc,28266,2550
2904,PXD026629,20180904YLJ-VSV4h-02.ipc,52815,7825
2904,PXD026629,20180904YLJ-VSV4h-02.ipc,52914,7842
2904,PXD026629,20180904YLJ-VSV4h-02.ipc,77604,13581
2904,PXD026629,20180904YLJ-VSV4h-02.ipc,78493,13741
2539,PXD026629,20180904YLJ-VSV4h-02.ipc,28454,2591
2539,PXD026629,20180904YLJ-VSV4h-02.ipc,45901,6361
2539,PXD026629,20180904YLJ-VSV4h-02.ipc,48935,6965
2539,PXD026629,20180904YLJ-VSV4h-02.ipc,49329,7047
2539,PXD026629,20180904YLJ-VSV4h-02.ipc,49405,7059
1721,PXD026629,20180904YLJ-VSV4h-02.ipc,28541,2606
1721,PXD026629,20180904YLJ-VSV4h-02.ipc,28987,2666
1721,PXD026629,20180904YLJ-VSV4h-02.ipc,29055,2677
1721,PXD026629,20180904YLJ-VSV4h-02.ipc,39971,5042
1721,PXD026629,20180904YLJ-VSV4h-02.ipc,41799,5549
1826,PXD026629,20180904YLJ-VSV4h-02.ipc,30295,2909
1826,PXD026629,20180904YLJ-VSV4h-02.ipc,31210,3065
1826,PXD026629,20180904YLJ-VSV4h-02.ipc,43962,5968
1826,PXD026629,20180904YLJ-VSV4h-02.ipc,45033,6195
1826,PXD026629,20180904YLJ-VSV4h-02.ipc,48100,6778
3195,PXD026629,20180904YLJ-VSV4h-02.ipc,31649,3160
3195,PXD026629,20180904YLJ-VSV4h-02.ipc,31671,3167
3195,PXD026629,20180904YLJ-VSV4h-02.ipc,32018,3267
3195,PXD026629,20180904YLJ-VSV4h-02.ipc,32113,3299
3195,PXD026629,20180904YLJ-VSV4h-02.ipc,32136,3313
2937,PXD026629,20180904YLJ-VSV4h-02.ipc,31665,3164
2937,PXD026629,20180904YLJ-VSV4h-02.ipc,46790,6539
2937,PXD026629,20180904YLJ-VSV4h-02.ipc,65719,11286
2937,PXD026629,20180904YLJ-VSV4h-02.ipc,65938,11326
